,text,airline_sentiment
93,landed lax hour late flight bag check business travel friendly,negative
94,flight 345 redirected,neutral
95,website btw new website isnt great user experience time another redesign,negative
96,cant check add bag website isnt working ive tried desktop mobile,negative
97,let 2 scanned passenger leave plane told someone remove bag 1st class bin,negative
98,phone number cant find call flight reservation,negative
99,anyone anything today website useless one answering phone,negative
100,trying add boy prince ressie sf thursday lax,neutral
101,must traveler miss flight late flight check bag missed morning appointment lost business,negative
102,check new music,neutral
103,hows direct flight fllgtsfo unexpected layover vega 4 fuel yet peep next bought vega flight,negative
104,late flight bag check lost business missed flight apt three people flight exp,negative
105,amazing customer service raeann sf shes best,positive
106,called service line hung awesome,negative
107,site tripping im trying check im getting plain text version reluctant enter card info,negative
108,scheduled sfo 2 dal flight 714 today changed 24th due weather look like flight still,neutral
109,getaway deal may 59 oneway lot cool city,positive
110,getaway deal may 59 oneway lot cool city,neutral
111,getaway deal may 59 oneway lot cool city,positive
112,getaway deal may 59 oneway lot cool city,neutral
113,great week,positive
114,come back already need take u horrible cold,positive
115,concerned fly plane need delayed due tech stop,negative
116,best airline flown oneasy change reservationhelpful representative amp comfortable flying experience,positive
117,another rep kicked butt naelah represents team beautifully thank,positive
118,beautiful frontend design right cool still book ticket bc backend secure,positive
119,love team running gate e9 la tonight waited delayed flight kept thing entertaining,positive
120,use another browser 2015 amp brand reputation built tech response doesnt crossbrowser compatible website,negative
121,flight flight booking problem site totally folk problem,negative
122,like customer service 40 min delay connecting passenger seems long va370,negative
123,thanks outstanding nycjfk crew moved mountain get home san francisco tonight,positive
124,absolute best team customer service ever every time fly im delighted thank,positive
125,provide complimentary upgrade first class available seat,neutral
126,need change flight thats scheduled 9 hour 120 min wait time phone im calling intern help,negative
127,completely awesome experience last month boslas nonstop thanks awesome flight depart time,positive
128,watch jfkgtsfo flight,neutral
129,flight 882 cancelled flightled,neutral
130,failing customer check process link tsa precheck,negative
131,u terrible airline gave u hotel hotline number said sorry,negative
132,flight number 276 sfo cabo san lucas arrived yet,neutral
133,assistance yesterday u cancelled flightled flight give u hotel hotline shame,negative
134,another delayed flight,negative
135,need register service dog first class ticket sfo gt dulles phone queue hour longer pls advise,negative
136,rock making watch flight,positive
137,dropped track,neutral
138,always xoxo,positive
139,cant book seat flight buy even check creates much anxiety,negative
140,youd think paying extra 100 buck rt luggage might afford hiring extra hand,negative
141,best customer service rep world take cake,positive
142,find u flt lax sooner midnight monday would great customer service,neutral
143,please provide status flight 769 cant imagine time web indicates dude weather andor dallas,negative
144,amazing staff amp super helpful ran spoiled comfort,positive
145,paid premium fly across country cancelled flight flight offer check fee upgrade love sad face,negative
146,question possible book seat infant 2 giving option want seat,negative
147,always together youre welcome rt youre welcome,positive
148,home back,positive
149,dont understand need dm give answer damaged luggage policy,negative
150,mean dont policy destroyed luggage,negative
151,special assistance travel alone w2 kid 1 infant priority boarding,neutral
152,thank checking ticket purchased customer happy,positive
153,website ever coming back online,neutral
154,flight 713 love field sfo definitely cancelled flightled monday february 23,neutral
155,flight 0769 lga dfw time,neutral
156,driver license expired little month fly friday morning using expired license,neutral
157,problem flight booking problem web site keep giving error contact phone phone 30 minute wait,negative
158,reschedule cancelled flightled flight online change button greyed,negative
159,rang wait 35 minute book ticket vendor fix site,negative
160,got flight told 450 todaychecked email 450 tomorrow unacceptable,negative
161,flight lga cancelled flighted stuck dallas called reschedule told could get flight today 12,negative
162,dont pairing include red wine white offered,negative
163,website,negative
164,site seems little wonked right may want look tried two browser cs,negative
165,im disappointed agent designated silver status check line closed assist pasengers,negative
166,plan include austin dallas route topnews arab,neutral
167,normal receive reply central baggage,negative
168,logan airport waiting checkin 9am flight checkin desk open,negative
169,jump dallasaustin market,neutral
170,beat eps view take va luv investor business daily,neutral
171,lister show monday 1230 130,neutral
172,begin dallasaustin april 889 ketr,neutral
173,congrats got business ewr sfolax fuck fl1289 sfoewr clincher,negative
174,applied 2 week ago havent heard back im flying week,negative
175,id love know policy damaged luggage,neutral
176,thank follow,positive
177,many apology r worse airline dont even respond cudtomers,negative
178,shame va making people spend money stranded city airline landing jfk reimburse,negative
179,dm,neutral
180,please flight sjc choice fly southwest vega,neutral
181,bad say take 10 14 day via confirmation email inquired 3 week claim 6 8 week,negative
182,flight bos gt la tomorrow cancelled flightled notification wait time 1 hour rebook another airline,negative
183,rt ’ met match got status another airline upgrade restr,positive
184,way fly,positive
185,guy flight cmh,neutral
186,lot apology thrown customer seevery sad thanks nothing worst airline ever,negative
187,flight stuff wrong nothing ever,negative
188,issue finding missing item plane help find airport plane headed next,neutral
189,match status cool,positive
190,“ youve met matchgot status another airline upgrade,neutral
191,trying book flight guy website wont let lose business,negative
192,suck,negative
193,thanks,positive
194,dmd issue persisting,negative
195,never recd cancelled flightlation notice left w option fly p driving la red eye mon w kid,negative
196,trying book flight amp site,negative
197,flight flying boston tomorrow need home cancelled flightled flight didnt anything,negative
198,stink flight cancelled flighted psp jfk notification ability rebook better,negative
199,love guy song dancing high school dance revue,positive
200,website im trying check,negative
201,done thank quick response apparently faster sitting hold,positive
202,nervous flight dc lax getting cancelled flightled tomorrow sent dm help,neutral
203,cool picture another virginamerica plane wing site,positive
204,keep great work,positive
205,goodness people field amazing pressure texas crisis please fly ny,positive
206,thanks great flight la boston pilot great job landing snow go back la,positive
207,please get new york area monday afternoon,neutral
208,thanks much awesome support guy rock,positive
209,seat row 8 dont recline mention website,negative
210,flight 404 delayed 2 hour la due mechanical problem handle like pro could tossed u free drink,negative
211,cancelled flight flight today precipitation scared,negative
212,twitter team guy killed rescheduling asap thank,positive
213,guy charged 100 reschedule flight cancelled flighted refusing refund whats deal,negative
214,’ access website safari iphone 6 seems work mac ipad need iphone add passbook,negative
215,ipad iphone clicking checkin link email received 24hrs flight,neutral
216,mobile site broken show headerelevateusernumofpointsavailable 0 number point wont let checkin,negative
217,really looking forward flight let know rescheduled,negative
218,cancelled flight flight vx413 one sec delayed airport next cancelled flightledgonna email call reschedule,negative
219,problem link email checkin thanks,negative
220,change another airline get dc today able land dc cost 800 ugh,negative
221,looking forward first flight today cancelled flightled along subsequent one,negative
222,putting great deal pdx la la pdx show love,positive
223,wish afford fly next friday going back home love everything airline,positive
224,gonna deal dallas dc deal dc dallas,negative
225,’ bug report guy,neutral
226,hold time call center bit much,negative
227,like,positive
228,site,negative
229,best flight attendant ever,positive
230,awesome rt watch nominated film 35000 foot,positive
231,thanks much,positive
232,trying reset password email never arrives help,negative
233,airline based silicon valley,positive
234,nicely done,positive
235,’ looking forward watching oscar flight home tomorrow might even get something bubbly drink,positive
236,reason delay departure vx 413 jfk afternoon,negative
237,today flight palm spring ca jfk ny cancelled flightled,negative
238,hahaha guy amazing love guy,positive
239,sound like fun,positive
240,update flight 413 jfk gt lax,neutral
241,spruce moose,neutral
242,cs site 404 right please fix site unusable,negative
243,flight 910 vega boston today checked online bag count didnt register fix somehow,negative
244,classiq luv virgin america greetingz,positive
245,hi im trying checkin website working tried 3 different browser problem continues,negative
246,thanks great customer service today amp helping get travel sorted,positive
247,thanks guy sweet route rockies,positive
248,love 90 music blasting gate waiting flight could get iced coffee,positive
249,passenger 7d flt 338 assaulted shouldnt flown trust he banned crew filed report,negative
250,current bug website show ‘ select departure city ’ selecting destination city,negative
251,luggage severely dentedmissing wheel coming baggage claim san luggage agent miranda think wasnt help,negative
252,thank easy itinerary shift impending weather quick painless amp free,positive
253,youd love see girl inspired become pilot rt free woaw event march 28 abq,neutral
254,thanks good time back entire flight,positive
255,beat expectation share take santa cruz sentinel,neutral
256,plan start flying direct dal la,neutral
257,big lovegratitudempower w werin vipswagbags,neutral
258,youre great job adding little luxuriesaesthetics improve air travel experience thank keep,positive
259,requested window seat confirmed window got stuck middle seat good way treat silver member,negative
260,grand budapest hotel,neutral
261,missed next trip 407,neutral
262,paid direct flight purpose stop fuel exhausted frequent flier nothing inconvenience,negative
263,something wrong website safari iphone,negative
264,thanks gate checking baggage full flight dfwlax 883 giving early boarding,positive
265,already checked page expired x,negative
266,boo refunding seat upgrade fee want buy first place,negative
267,share rise q4 financial result usa today,neutral
268,add pillow instead lieflat seat first class arm race,neutral
269,see,positive
270,way take advantage,neutral
271,know im flying virgin fight,neutral
272,inflight team make experience,positive
273,cutest salt pepper shaker ever think guy cant get better,positive
274,moved seat notice better seat cabin select behind row selected,negative
275,share 4q result,neutral
276,fav airline,positive
277,hot female pilot sweet dca sfo,positive
278,guy going start flying paris youre welcome ”,neutral
279,policy flying surgery still waiting answer tell doctor,neutral
280,already contacted central baggage amp sent dm charging dress lost suitcase,negative
281,thank,positive
282,anything going website ive getting lot error past 30 minute,negative
283,think left something plane yesterday callah,neutral
284,need follow back order dm,neutral
285,need start flying,neutral
286,told check airline regulation first contacted,neutral
287,checked flight sfo lax amp told atlantic flying club gold get benefit,negative
288,husband ordered three drink via screen never came awesome,negative
289,soooo guy going leave seatbelt light flight barely call turbulence,negative
290,policy flying surgery,neutral
291,post second consecutive fullyear net profit,neutral
292,funny story website broken missing javascript stylesheets checkin process dislike,negative
293,would love virgin like,positive
294,result handily exceed forecast,neutral
295,applied position wondering guy received application,neutral
296,achieves second year profitability despite revenue pressure,neutral
297,give positive outlook see increased competition,neutral
298,im trying check 1050am ct flight tmm desktop website working sort caching bug so,negative
299,weather delay gt next week,neutral
300,check website go airport,neutral
301,guy know checkin link email broken,negative
302,pilot say expect choppy landing nyc due gusty wind wa temperature 5 degree amp wthe windchill 8,neutral
303,loved cant wait monday return flight mostly watch inflight safety video,positive
304,lost luggage 4 day ago flight vx 112 lax iad amp im calling every day responseplease give back stuff,negative
305,flight booking problem section website seems broken chrome might wanna look,negative
306,hi wanted see new route planned year newark love flying guy hope,positive
307,mean probably inappropriate board,positive
308,happy spend day together let,positive
309,saving sanity right,neutral
310,missed flight standby work,neutral
311,understanding helped thx,positive
312,brought way across country today see,neutral
313,thank absolutely,positive
314,look like broken link asset,negative
315,ready let say together noooo turbulence today,neutral
316,manage itinerary section website seems broken,negative
317,cant check site look like every time load,negative
318,u help need urgent treatment in2y old battling cancer could u help flight,neutral
319,may start service hawaii year,neutral
320,carrier le half price round trip fare stunned,negative
321,wtf happening pdx late flight march one way sfo 550,negative
322,add dtw im sold,neutral
323,free drink flight back free promo,positive
324,thanks,positive
325,momma made,neutral
326,please contact portfolio left flight vx 27 jfk sfo tonite seat 7am need returned call 9143290185,neutral
327,help flight 27 jkf tonight seat 7c left portfolio need back,neutral
328,seattle bound wifey got duffle vday shes keeper holla,neutral
329,luggage gone ive filed paperwork promised callemail still resolution response central luggage,negative
330,debbie baldwin gave performance safety demo evening vx919,neutral
331,thanks,positive
332,thanks taking care flight,positive
333,thanks lovely soft view,positive
334,requested mileage challenge status several week ago online havent heard back get help,negative
335,trying book ticket nyc facing super fun broken styling dont worry ill keep trying,negative
336,many thanks follow looking help,neutral
337,nice lofty view,neutral
338,applied status match feb 1 got confirmation email day still news though guy dropped ball late flightly,negative
339,new go airline,neutral
340,help need help,neutral
341,adore looking forward flight austin two week,positive
342,glad mentioned took first virgin flight year back transformative experience,positive
343,flight booking problem flight uphold status match tax ticket count earned status point,neutral
344,trying checkinbut look like site,negative
345,spending birthday night daldca get home,negative
346,sent couple message email provided avail try next year cheer,negative
347,first time flying virgin went thanks smooth ride easily new fav airline,positive
348,seriously though direct flight sfofll may,negative
349,fine already done purchase try go way go back 3,negative
350,really experience hoping 4 w forced 2 check small carry w nothing empty cabin space board,negative
351,wjere luggage slow lax,negative
352,jump market,neutral
353,spoke representative offered solution loyal customer fly well,negative
354,deeply disappointed birthday promo applied trip booked mere day received email,negative
355,happened direct flight sfofll looking may see connecting,negative
356,help left blazer kooples jacket bag 3rd row second seat right gate 36 t3 lax flight sfo,neutral
357,partner checkout mobile payment method help boost mobile conversion rate,neutral
358,promoting product problem southwest recommend noneother best,positive
359,love guy pls get direct route la au,positive
360,would like help flight please,neutral
361,bruh “ turn ”,neutral
362,course work im obsessed entire virgin family,positive
363,ok first time flying tonight,positive
364,digging swanky pink mood lighting flight nyc sfo need cabaret singer think,neutral
365,done need receipt asap could please help 000114,neutral
366,2d 3d embossed badge patch superior one currently using,negative
367,vx399 jfk la dirty plane standard,negative
368,flight vx399 headed la jfk dirtiest va plane ever sad great airline,negative
369,got squared away someone picked soon tweeted tweeted sooner,positive
370,avis rental continue button doesnt work website book car tried 4 time phone suck,negative
371,delayed to1030,negative
372,currently minute 10 hold cust service need anything add lap child reservation,negative
373,add pillow instead lieflat seat first class arm race,neutral
374,“ course fun celebrating ” thanks happy chinese new year,positive
375,flight booking problem last second flight next week sfo san chance want gift promo code since love guy,positive
376,comenity bank joke please change nothing constant problem bank,negative
377,dm u also add,neutral
378,grandma ellas 80th would lt3 bday greeting flight crew stewardess eastern airline,positive
379,bought tix atx dallas route thanks adding love yr airline amp yr website best transactional site ever,positive
380,anytime sugafly,neutral
381,gave credit late flight flight yesterday great service thats wow moment unexpected gesture,positive
382,need receipt flight change send one,neutral
383,submitted status match request back still ’ heard ’ flying monday look accelerate,negative
384,safety video loved first cross country flight,positive
385,doesnt look fat look yummy,positive
386,ceo say amp strayed low cost model,neutral
387,brilliant brisk boston cue vx363,neutral
388,atlantic plough lone furrow,neutral
389,atlantic plough lone furrow,neutral
390,atlantic plough lone furrow,neutral
391,omg omg nonstop dallas austin virgin,positive
392,plane really pretty thought u know,positive
393,flying hawaii,neutral
394,im pulling hair trying book flight u site doesnt work iphone ipaddont computer,negative
395,thank,positive
396,get help support ticket 15 day incident 15020200041 9 thank,negative
397,good home,positive
398,cannot even open laptop seat 4c paid premium let,negative
399,seat 4c cannot even open laptop paid extra seat,negative
400,guy starting flight end month guess ’ still road tripping feb 27 …,neutral
401,thanks needing way make austin trip dca youve come,positive
402,announced new route austin wfares 39way,neutral
403,really sprint thought guy kewl 00,neutral
404,cool never ur plane,positive
405,39 dollar laxlas fare,neutral
406,great well deserved,positive
407,fyi infocom email address say contact password reset email doesnt exist email bounce,negative
408,status match 2 week gone newsflt next week hope flt count towards requirement cust svc help,negative
409,website suck donkey dick thought know best,negative
410,still develop app favorite airline,neutral
411,crap channel pay watch uk tv,negative
412,got set thanks,positive
413,channel year,neutral
414,thing see passbook virgin mobile mexico integrate,neutral
415,giant virgin america match made heaven,positive
416,thank goodness also see friday nwkgtsf boom,positive
417,come dont iphone app still using making waste paper,negative
418,back seat entertainment system accept credit card apostrophe surname,negative
419,vx use 6 lga slot instead 4 today adding au make le likely,negative
420,helping step game,neutral
421,luv ur people product 1 thing u charge herbal tea black tea im caffeine drinker,positive
422,thank see yall soon im excited see expansion destination spread wing,positive
423,announces new nonstop connecting amp 39 intro,neutral
424,add austindallas love field route,neutral
425,sad learn longer fly sfo gt phl hope return,negative
426,tweet cancelled flightchng fee flight rebook one affiliate afiliates,neutral
427,incredible customer service ive ever experienced refreshing,positive
428,see virginamerica come philadelphia phl,neutral
429,dreaming really open route dallas austin mean houston might next,positive
430,omg finally,positive
431,start 5xweekly flight 28apr,neutral
432,nice see expanding texas dont forget u would love see flight,neutral
433,kinda sucked earphone jack didnt work flight may want look future passenger,negative
434,poor experience first computer problem seat malfunction stuck missing meeting san diego,negative
435,battle route via,neutral
436,dalaus route make day,positive
437,awesome deal dalaus 39 way,positive
438,miss san jose,neutral
439,love taking backyard consumer win biz competes,positive
440,​ flying love austin excellent news,positive
441,make every vx plane austin one getting nerd love,neutral
442,please add frequency pdx portland,neutral
443,congrats vx new route,positive
444,tried offered charge additional 1k new ticket stranded thurs 1st time last time,negative
445,u help flight get 2y old battling cancer need treatment,neutral
446,never bad experience one took cake extortion carry item well,negative
447,spend 5 hour worrying item carryon would brokenstolen since couldnt carry plane lock bag,negative
448,group e told room bin got plane room least 4 bag row,negative
449,thanks making flight lax jfk nightmare forcing check carry bag gate 1,negative
450,lot flight book site working ive phone waiting 10 minute,negative
451,flight artisanal cheese wine pairing,positive
452,virgin america fly direct seattle nyc boston,neutral
453,thats classy,positive
454,im sure lot 747 777 jfklhr flight go lot faster 513mph strong tailwind,positive
455,tminus 32 minute elevate silver upgrade window open,positive
456,save 871 tomorrow,neutral
457,taking 12 year fly home dallas get shit together,negative
458,club virgin bumping new york,neutral
459,would rough trip luckily flight,positive
460,,neutral
461,please come minneapolis st paul,neutral
462,yes fyi bff,neutral
463,another perfect flight come plane sun visor stay carrier make raise,positive
464,nice rt man steel might faster wifi – saying,positive
465,love dancing little richard cool bean,positive
466,’ use passbook still love though lt3 ’ use email future,positive
467,thanks free birthday point yall right,positive
468,application io looking saw virgin mexico lt3,neutral
469,man steel fly city thoughand frequency,negative
470,thanks much sharing added site,positive
471,good point,neutral
472,heard virgin mobile hotspot,neutral
473,got cheese plate flight,neutral
474,flight,neutral
475,dad segway best part whole infographic,positive
476,plan short haul airline europe would defiantly fly guy,positive
477,wifi better seating,positive
478,come abc one network channel dont,neutral
479,started flight scolding using overhead bin offered person seated next,negative
480,great return call day couldnt ask,positive
481,airline werent cancelled flighting flight bos helping customer get home virgin saying good luck,negative
482,dear virgin customer youre stranded sf 3 day amp 1000cost well least accommodate,neutral
483,use next airline commercial lol,neutral
484,grouping virgin others bos weather exposed actual cu serv model never flight booking problem virgin,negative
485,one traveler affected boston storm im shocked virgin complete apathy toward customer,negative
486,umm reason someone different contact contact get definitive answer,negative
487,trying make change advance 24 hour prior … tried online earlier wanted 300 change fee,negative
488,loyal im driving fly virgin since cut flight,positive
489,way change main cabin main cabin select flight without paying change fee penalty,neutral
490,guy perfect always lt3,positive
491,thanks yall best customer service left industry,positive
492,give silver status 12 month,neutral
493,really wish youd fly fare amazings,positive
494,mood lighting point reclining seat kickin foot,negative
495,flight 6000 scheduled 1pm departure still say time plane gate update long delay,negative
496,group got cancelled flightlation fee waived cant ticket booked 218 rep help either,negative
497,sign bonus enroll elevate,neutral
498,got 1pm newark home la folk ewr incredible,positive
499,morning question regarding elevate point amp flight dm,neutral
500,still waiting see,neutral
501,wondering guy recieved dm able potentially respond asap,neutral
502,flying lax sfo looking awesome movie lineup actually wish long haul,positive
503,“ book town fare 59way restr,neutral
504,thanks,positive
505,thanks taking care mr happy customer,positive
506,still refund word via dm please resolve issue cancelled flightled flight useless assistant trip,negative
507,delayed due lack crew delayed there long line deicing still need improve service,negative
508,thanks filled hows luck common,positive
509,eriord express connection hugely popular could eriewr hop,negative
510,even international flight glasgow u orlando newark 90 min,neutral
511,think boarded flight au1066 early think,negative
512,understand tough way get airport wo serious risk accident steep price,neutral
513,gate agent hooked alternate flight way prevent constant issue would rock,negative
514,flying glamco week long airport departure international domestic ta,neutral
515,thanks,positive
516,thanks ticket,positive
517,law policy,neutral
518,worst nonrefundable first class ticket oh select globalfc system auto selects economy wupgrade,negative
519,buy tix 3 day flight cant transfer tix flawed security logic flawed customer service,negative
520,start claim 810 week unrealistic really supposed go long car seat childridiculous,negative
521,follow please airline beautifull,positive
522,dont im sure united info system,neutral
523,car seat lost reimburse new one pair shoe necessity child,negative
524,submitted response link sent,neutral
525,yes david allan send email number kmm 2499956 3v99860l0km case,neutral
526,totally suck cousin worked phl said,negative
527,wanted let know wonderful rosetta gate agent working flight 6457 dan ase let know wasappreciated,positive
528,yes paper voucher got january 26th 2015,neutral
529,beginning feb called united said would send another voucher mail never got anything,negative
530,internet great thing emailing executive company maybe respond timely manner,negative
531,need use chase united club pas 8yr old son come pas,neutral
532,suppose number,neutral
533,thats weak see ya hey,negative
534,flew back w company since united didnt earlier flight,negative
535,lost voucher given miami aeroport jan 26 use,neutral
536,trying book award september need flight show even w many award seat availab,negative
537,sure drive total 3 hour get bag id like explain debacle one want talk,negative
538,gee thats like almost caring ppl think im int trusted adult w daughter,neutral
539,see told repeatedly pilot late flight kept getting late flightr boarded defibrillator issue,negative
540,preferred security line anymore tsa precheck didnt pull partner flight,negative
541,airport need indicate different gate terminal aampc,negative
542,yes please newly married trying update last name preexisting international flight seems easy,negative
543,united refuse reissue 400 lost voucher plane didnt take due mechanic,negative
544,also run instructed shattered computer,negative
545,yes weve agent last 50 minute one agent rude thankfully ladan nice,negative
546,thats right overnight miami,neutral
547,client 11 hr layover iah day claim amp recheck luggage taken care,neutral
548,trying find loaner seat new used used car seat illegal according safety regulation,neutral
549,dmed detail,neutral
550,iah charlotte baggage claim rep latrice h non existent ignored customer inappropriately touched customer,negative
551,kewl also let know overhead bin row inop love good abbreve,neutral
552,thanks helpgot need issue guess sit awhile longer,positive
553,would loved respond website saw really long form business new seat bad,negative
554,refund flight voucher another flight different airline expense today 8 hour drive inconvenient,negative
555,received call back 3 daysits infant car seat supposed go anywhere child,negative
556,thanks concern contact customer care upon return australia,neutral
557,well sitting ground time waiting gateagain,negative
558,airport snow removal method keep good work folk cessnas become 747s,positive
559,need guy book plane concern ill travel someone else moving forward,negative
560,measly 50 ecertificate appreciate loyal customer wait 3hrs tarmac ua1116,negative
561,email addressusername signon available,negative
562,thank able claim interim expense cost stuff,positive
563,rude rude,negative
564,cant get boarding pas austrian airline codeshare flight rebook incls 6 hour layover amp stuck outside sec,negative
565,received flight truly break guitar,negative
566,flew paid 100 third suitcase didnt even make plane besides impolite service,negative
567,bag still colo spring disabled search unfamiliar airport look bag good outcome,negative
568,shame there flex ticket transfer rule even calling neurosurgery icu isnt enough,negative
569,denver said dont handle baggage made colo spring gave 800 number call help either,negative
570,guy need serious training customer service many better option put way guy handle ur mistake,negative
571,6533 ord dca,neutral
572,found problem avoided like plague told cant find supervisor,negative
573,zcc 82u cancelled flight flight 16h advance need connect flight reschedule link isnt helping help gf waited month see,negative
574,flying,negative
575,addition first flight delayed hour im arriving destination 8 hr late flight,negative
576,cancelled flighted flight didnt rebook u added flight drive denver kcthanks,neutral
577,announcement pre boarding address mobility disability requires travel lot stuff preboard,neutral
578,flew united last month experience awesome,positive
579,travel booked thru united group dept okc ticket agent le willing help connection lax,negative
580,v upset disability service told one employee carrying medical equipment rude,negative
581,thnx quick reply dont think assist intl grp put considerable inconvenience today,negative
582,wont transfer flight ticket accompany 11 yr old who active military mom emergency brain surgery wow,negative
583,7 week late flightr still received mile mileageplus gift card 150 starbucks card handed,negative
584,1k im always hoping improvement,negative
585,yet complained guy checked luggage throwing bag around unfortunate coincidence hope,negative
586,okc ticket agent roger mclarrensp le helpful intl group travel problem cant find supervisor help,negative
587,mobile apps need construction ground o category expensive get right,negative
588,another fail united ticket agent okc le helpful could care le problem american come,negative
589,441 also 1 working wc coach good thing bird landed ahead schedule use wc stat,positive
590,o isnt controlled rather app new,neutral
591,sent email customer care telling may break sincerely hope help,negative
592,silly im flying delta today united club staff attendant surly unhelpful always seem bothered pesky folk,negative
593,phone number cant find call flight reservation,negative
594,well cant fix missing buddy 30th bday negligence attempt make,negative
595,believe help customer service couldnt like said want number someone fix,negative
596,helped baggage service desk said bc tsa screening fll bag made bag ewr 12,negative
597,mobile boarding pas disappeared phone standing line board second time week hmm,negative
598,record rozana newark lovely helpful,positive
599,last night 1235ordlga,neutral
600,thx update,positive
601,thank,neutral
602,dm nut,neutral
603,explain eager flight attendant trying ask vision guide dog,negative
604,whats point asking detail book flight crew doesnt read continued,negative
605,tried one available bogota everyone rude houston stuck 35 hour guy,negative
606,ua 236 la iad 224 mechanical problem took land fix delayed,negative
607,despite bag making newark good informative email tracking update help,positive
608,whats going ua 236 outbound flight last thurs delayed 4hrs long delay,negative
609,ua1429 iad la 219 mechanical problem switched aircraft delayed 35 hour,negative
610,crashed trying check,negative
611,wow deal 30 plus seat available easy change make customer happy,positive
612,thanks info already knew,neutral
613,airline trouble winter amp getting good customer service contact negotiate resolution,neutral
614,768 logan boarding gong show due lax carry enforcement bin full coat room bag u need better system,negative
615,thank,neutral
616,blackmailed paying £ 130 extra return ticket nullified san francisco airport terrible service rep,negative
617,email address reach long dm,neutral
